spectral_rolloff,zero_crossing_rate,spectral_bandwidth,spectral_centroid,spectral_contrast,mfcc,chroma,tempo,rms,track_id
5012.804233435076,0.047487581937025736,2917.784921930047,2415.0386994203454,21.52540497123293,1.8403888,0.50077856,119.68085106382979,0.17332332,00B7SBwrjbycLMOgAmeIU8
3876.68395183387,0.029672374852785656,2845.9639897366706,1934.017004221701,23.176607804959648,-1.9024501,0.38697052,87.890625,0.19822265,00BHbc5GB5d35gsi8IsmZl
3359.0105725224435,0.036303107855864575,2660.281484690942,1860.1194664134823,22.087417216390506,-5.1573005,0.41743025,70.3125,0.12890401,00DuOxungwHwVUX2m37P0P
1276.1115800481164,0.0177125498506616,1002.2922602189226,727.7504226844657,20.198867142681536,-7.4824395,0.4350044,140.625,0.0527504,00iwQgjIgoGO94BRBDyClo
4872.411820387457,0.03387630442873948,2913.8080264230975,2196.201996775423,22.65073594271933,6.16653,0.50496405,81.52173913043478,0.26289946,00LmM2QLGpfb5NC7PC7qqZ
10422.0466107243,0.10283647796547182,4503.262547625252,4918.616029534566,22.906077984212487,-1.0418719,0.40995315,102.27272727272727,0.11902047,00PXj8pxWLJ3apEnCPJTNI
5410.3162125371255,0.05630011134095716,3016.881100883061,2613.7403669993428,20.159936405568722,3.0779502,0.53953826,100.44642857142857,0.23528138,00Ys2R4wKqpKbGMgpZBirL
6144.583410608308,0.0788341588876525,3106.063735935331,3065.2992477092575,20.55244135563979,-3.8121622,0.49443728,95.33898305084746,0.05616054,019GjjVqU4lNg4QnZzRjUd
6557.344918027924,0.052657800418018035,3486.7066768368345,2927.0916878208623,22.671322238794236,2.0714154,0.3918686,98.6842105263158,0.25525826,01AE1MgL6L86WQzh4KGDUa
7899.081645153891,0.05585637746058887,3971.393709780572,3400.5227133982853,22.71127248350898,1.5459298,0.428328,119.68085106382979,0.21802302,01ioXCMkGpxuKrdEO3TSob
8596.131674757282,0.0654275724654593,4316.8624383870165,3770.0635195056952,22.546903553186805,2.0179949,0.45665675,98.6842105263158,0.19610094,01MVOl9KtVTNfFiBU9I7dc
1774.1849853641738,0.023043663323982666,1594.6883413013825,1054.8090785772513,21.929263979687978,-8.761383,0.36373544,114.79591836734694,0.06273762,01Rc6yXYtujAnMaR1NME11
8983.170787836465,0.09499058320636533,4071.651368390582,4332.226421788956,20.85979199976188,2.736343,0.52142817,119.68085106382979,0.20306465,01SEeuiaCTjEwEIqWVuoKn
3903.120279766205,0.03903505081434294,2593.0717990073776,2016.5519390636532,21.92711084862411,1.9513149,0.45543882,80.35714285714286,0.2308569,01TtrmZEiYitpwDUcPQ6dj
7576.436283054862,0.06986807262887558,3874.8854623126867,3348.838175711852,20.62936900935805,3.6475005,0.50901,140.625,0.17596279,01XHdHj96m9u8VEyvInHGE
6060.401296775175,0.046259025849939156,3355.216947162604,2712.967650339911,21.36448640456907,4.2676964,0.46035305,160.71428571428572,0.29274774,02MWAaffLxlfxAUY7c5dvx
5823.2995361560415,0.05879571539010466,3206.8274869129546,2838.716363109049,20.84341574541621,2.4272277,0.57974815,200.89285714285714,0.16975786,02rL5rMK7s4LQ6BAjNF5iv
6313.906703507716,0.05455258836763769,3446.3784743482474,2909.329822680881,21.76072134516768,1.1239002,0.4274331,93.75,0.18332335,030RVDutkfRcbxnvP4OjuK
5800.55156368701,0.044287195927766525,3405.0980516128184,2635.6015238573636,21.987920536698134,6.129375,0.50619304,137.1951219512195,0.28590432,033BH9v7RyCCdHzgxyiU5R
5260.605555555556,0.03543148148148148,3073.871087958328,2373.5861076435026,22.751704092783633,1.6979663,0.50476074,64.65517241379311,0.19216496,034KyQEk7IhbLtniVhBErj
5406.116220688565,0.03587890977979714,3259.8129568113704,2382.1011198653882,23.220022885878976,-3.3631947,0.39439207,83.95522388059702,0.11857645,038gnuPve7s8rADCEDYsMH
5132.243578686571,0.05445210329376529,2997.303146499248,2597.36175856158,20.78253673488497,-0.39763105,0.45170343,80.35714285714286,0.23672897,0393PMIQFV9pewSmxoWwXw
5519.621723084754,0.04136577323666964,3520.9941984646025,2509.8809093343793,22.0947915894565,1.3666604,0.46519896,152.02702702702703,0.1757665,03czT1nVZDRv2JlpY2GxON
5423.150510204082,0.034434042828872975,3247.431936820592,2392.3705585311786,22.50507117383432,5.918845,0.5301642,122.28260869565217,0.255246,03DgLHhA7HCUB8aBTNqOwX
5579.814941893626,0.0576065348504563,2988.2152540402917,2707.4921096272187,21.30800520567946,-0.6028732,0.412895,160.71428571428572,0.20806988,03I89EqsberXEAapUd1yWu
6376.245046101585,0.05452722495753801,3218.123031088199,2871.634824662363,20.880871865155278,3.299662,0.46494186,119.68085106382979,0.24125497,03SLq7KvMQuOMl3sTeN2Kj
5898.392834949043,0.052571735955754414,3428.95400384238,2696.5396197795853,22.57703858044599,6.145196,0.40475026,156.25,0.3100718,03SqUp5aNqCM8EP4WOmUZp
5121.718481989708,0.04641398879716981,2987.281403235884,2414.735647677372,22.291931666665057,-1.445693,0.4207165,104.16666666666667,0.20656866,03UnPfDS0FvZzi0Z3I7yue
4534.48331394664,0.04129644639149832,2882.0098542906285,2218.960798616528,22.075680553645693,2.1208901,0.43896958,140.625,0.1991726,03VNgdCL9t8aPyvwZecglI
4768.391105179628,0.03967568713028423,3078.7149611120108,2319.1524070546457,21.842355629535433,-1.938835,0.41668764,152.02702702702703,0.13321024,03yc0G2OoH1Eeyu7Piy8fK
9050.036991804893,0.08201875276861742,4196.469267427575,4290.078970794818,21.204976182312045,4.2787323,0.55384547,152.02702702702703,0.25498915,04bNiW1CiMHWM0kSDvbLzp
2034.1239777748467,0.02623361296824507,1332.1612482188377,1108.423737603886,22.131358883783154,-6.4214478,0.42527774,92.21311475409836,0.1012611,04BwBjVvvHshN9RbqNXfWQ
7238.85402556722,0.0654917675821669,3761.4057766361643,3382.5568867320826,21.562500796223468,2.0977354,0.46887767,125.0,0.22618756,04fYoQSUTfPhVjyW8aXkix
5289.568071209016,0.04857597976434426,2982.870983646198,2445.6336321365975,21.48335616760073,-3.0862308,0.39010614,144.23076923076923,0.08068436,04JS6OitE9VGsIS3S94Osg
4354.536063621415,0.03153654082736857,2755.4825566033637,2026.8143274255856,21.22589887732254,3.6443775,0.5161286,81.52173913043478,0.23608872,04MBRGMFYIHMwepawOcf2Z
5344.0120201755535,0.05057454235174025,3060.2505307762267,2551.7031019466976,21.1888126718998,4.835914,0.45304736,130.8139534883721,0.2695107,04Opv95YdaTL2OU4tooVyQ
4874.888780262753,0.03613047396771607,2818.925151648068,2145.493461257905,22.711306187986963,2.3900096,0.4203386,156.25,0.22471592,04qDUASuSfVp6fktfsxVej
7320.864344093877,0.05583051644331309,3824.282991515786,3288.98380958079,21.185232474232535,-2.363326,0.4194948,160.71428571428572,0.15324879,04UzZSWfw8hkK832P27QLq
